Bepaling,Materiaal,REFERENCE_UNIT,LIS,LIS_adjusted,loinc,LONG_COMMON_NAME,lab_naam
Alb.Chem,Bloed,g/L,K_ALBC_HP,K_ALBC_HP,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,GLIMS
ALBUMINE,Bloed,g/L,ALBI-BL,ALBI-BL,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,AMC LAB LABTRAIN
ALBUMINE,Bloed,g/L,ALBU-BL,ALBU-BL,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,AMC LAB LABTRAIN
Albumine (ALBI),Bloed,g/L,ALBI;BL,ALBI-BL,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,LABTRAIN
Albumine (ALBI),Bloed Nevirapine:,g/L,ALBI;BL,ALBI-BL,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,LABTRAIN
Albumine (ALBI),Bloed Vragen om afname informatie,g/L,ALBI;BL,ALBI-BL,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,LABTRAIN
ALB.CHEM,Bloed,g/L,K_ALBC_HP,K_ALBC_HP,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,VUMC LAB GLIMS
ALB.CHEM,,g/L,K_ALBC_HP,K_ALBC_HP,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,VUMC LAB GLIMS
Album.-stik,Urine,geen,KALS;U,KALS-U,50949-7,Albumin [Presence] in Urine by Test strip,LABTRAIN
Album.-stik,Urine Vragen om afname informatie,geen,KALS;U,KALS-U,50949-7,Albumin [Presence] in Urine by Test strip,LABTRAIN
ALBUMINE-KWAL (URINE) POCT AMC,Urine,,DUPRS-U,DUPRS-U,50949-7,Albumin [Presence] in Urine by Test strip,AMC LAB LABTRAIN
ALBUMINE-KWAL (URINE) POCT AMC,,,DUPRS-U,DUPRS-U,50949-7,Albumin [Presence] in Urine by Test strip,AMC LAB LABTRAIN
ALBUM.-STIK,Urine,,KALS-U,KALS-U,50949-7,Albumin [Presence] in Urine by Test strip,AMC LAB LABTRAIN
ALBUMINE RATIO (LIQUOR) VUMC,Liquor,0.01,K_ALBR,K_ALBR,72599-4,Albumin/Protein.total [Pure mass fraction] in Cerebral spinal fluid by Electrophoresis,VUMC LAB GLIMS
ALBUM.RATIO (LIQUOR),Liquor,0.01,NALR-L,NALR-L,72599-4,Albumin/Protein.total [Pure mass fraction] in Cerebral spinal fluid by Electrophoresis,AMC LAB LABTRAIN
ALBU-FRACTIE (ALBF),Bloed,g/L,ALBF-BL,ALBF-BL,72598-6,Albumin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis,AMC LAB LABTRAIN
ALB-FR,Bloed,g/L,K_ALF_SR,K_ALF_SR,72598-6,Albumin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis,VUMC LAB GLIMS
ALB-FR,,g/L,K_ALF_SR,K_ALF_SR,72598-6,Albumin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis,VUMC LAB GLIMS
ALK.FOSF.,Bloed,U/L,K_AF_HP,K_AF_HP,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,VUMC LAB GLIMS
ALK.FOSF.,,U/L,K_AF_HP,K_AF_HP,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,VUMC LAB GLIMS
ALK.FOSF.,Bloed,U/L 37¶C,RAF-BL,RAF-BL,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,AMC LAB LABTRAIN
AF GAL FR.,,%,K_GAL_SR,K_GAL_SR,53524-5,Alkaline phosphatase.bile/Alkaline phosphatase.total in Serum or Plasma,VUMC LAB GLIMS
AF-BOT,Bloed,%,BOAF-BL,BOAF-BL,15013-6,Alkaline phosphatase.bone/Alkaline phosphatase.total in Serum or Plasma,AMC LAB LABTRAIN
AF BOT FR.,,%,K_BOT_SR,K_BOT_SR,15013-6,Alkaline phosphatase.bone/Alkaline phosphatase.total in Serum or Plasma,VUMC LAB GLIMS
AF DARM FR.,,%,K_DARM_SR,K_DARM_SR,15014-4,Alkaline phosphatase.intestinal/Alkaline phosphatase.total in Serum or Plasma,VUMC LAB GLIMS
AF-LEVER1,Bloed,%,L1AF-BL,L1AF-BL,15348-6,Alkaline phosphatase.liver 1/Alkaline phosphatase.total in Serum or Plasma,AMC LAB LABTRAIN
AF-LEVER2,Bloed,%,L2AF-BL,L2AF-BL,15349-4,Alkaline phosphatase.liver 2/Alkaline phosphatase.total in Serum or Plasma,AMC LAB LABTRAIN
AF LEVER FR.,,%,K_LEV_SR,K_LEV_SR,15015-1,Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma,VUMC LAB GLIMS
APTT,Bloed,s,H_APTTspec_BL,H_APTTspec_BL,14979-9,aPTT in Platelet poor plasma by Coagulation assay,GLIMS
APTT,Bloed,s,H_APTTspec_BL,H_APTTspec_BL,14979-9,aPTT in Platelet poor plasma by Coagulation assay,VUMC LAB GLIMS
APTT,,s,H_APTTspec_BL,H_APTTspec_BL,14979-9,aPTT in Platelet poor plasma by Coagulation assay,VUMC LAB GLIMS
APTT,Bloed,sec.,SAPT-BL,SAPT-BL,14979-9,aPTT in Platelet poor plasma by Coagulation assay,AMC LAB LABTRAIN
aPTT,Bloed,Seconde,SAPT;BL,SAPT-BL,14979-9,aPTT in Platelet poor plasma by Coagulation assay,LABTRAIN
ASAT(SGOT),Bloed,U/L 37C,ROT;BL,ROT-BL,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LABTRAIN
ASAT,Bloed,U/L,K_ASAT_HP,K_ASAT_HP,30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,VUMC LAB GLIMS
ASAT,,U/L,K_ASAT_HP,K_ASAT_HP,30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,VUMC LAB GLIMS
ASAT,Bloed,U/L,K_ASAT_HP,K_ASAT_HP,30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,GLIMS
ASAT,Bloed,U/L 37¶C,ROT-BL,ROT-BL,30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,AMC LAB LABTRAIN
ASAT,,U/L 37¶C,ROT-BL,ROT-BL,30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,AMC LAB LABTRAIN
BASOFIELE PUNCTERING VUMC,,,H_basofielepunct_beenmerg_EB,H_basofielepunct_beenmerg_EB,703-9,Basophilic stippling [Presence] in Blood by Light microscopy,VUMC LAB GLIMS
BASOFIELE PUNCTERING,Bloed,,HBPU-BL,HBPU-BL,703-9,Basophilic stippling [Presence] in Blood by Light microscopy,AMC LAB LABTRAIN
BASOFIELE PUNCTERING VUMC,Bloed,,K_basofielepunct_EB,K_basofielepunct_EB,703-9,Basophilic stippling [Presence] in Blood by Light microscopy,VUMC LAB GLIMS
BASOFIELE PUNCTERING VUMC,,,K_basofielepunct_EB,K_basofielepunct_EB,703-9,Basophilic stippling [Presence] in Blood by Light microscopy,VUMC LAB GLIMS
BASOFIELE PUNKTERING (BLOED) AMC,Bloed,,SBPU-BL,SBPU-BL,703-9,Basophilic stippling [Presence] in Blood by Light microscopy,AMC LAB LABTRAIN
BASO (BLOED) VUMC,,x10e9/L,H_HBAA_beenmerg_EB,H_HBAA_beenmerg_EB,704-7,Basophils [#/volume] in Blood by Automated count,VUMC LAB GLIMS
#BASOFIELEN,Bloed,10E9/L,HBAA-BL,HBAA-BL,704-7,Basophils [#/volume] in Blood by Automated count,AMC LAB LABTRAIN
BASO,Bloed,x10e9/L,K_ABAA_EB,K_ABAA_EB,704-7,Basophils [#/volume] in Blood by Automated count,VUMC LAB GLIMS
BASO,,x10e9/L,K_ABAA_EB,K_ABAA_EB,704-7,Basophils [#/volume] in Blood by Automated count,VUMC LAB GLIMS
#BASOFIELEN,Bloed,10E9/L,HBASA-BL,HBASA-BL,705-4,Basophils [#/volume] in Blood by Manual count,AMC LAB LABTRAIN
BASO (BEENMERG),,%,H_BA_BE,H_BA_BE,11105-4,Basophils/100 cells in Bone marrow by Manual count,VUMC LAB GLIMS
BASO (BEENMERG),Beenmerg,%,H_BA_BE,H_BA_BE,11105-4,Basophils/100 cells in Bone marrow by Manual count,VUMC LAB GLIMS
BASO (BEENMERG),Bloed,%,H_BA_BE,H_BA_BE,11105-4,Basophils/100 cells in Bone marrow by Manual count,VUMC LAB GLIMS
BASO % VUMC,,%,H_HBA_beenmerg_EB,H_HBA_beenmerg_EB,11105-4,Basophils/100 cells in Bone marrow by Manual count,VUMC LAB GLIMS
BASOFIELEN,Bloed,%,HBAS-BL,HBAS-BL,706-2,Basophils/100 leukocytes in Blood by Automated count,AMC LAB LABTRAIN
BICARBONAAT - BLOEDGAS ART. (AMC),Bloed,mmol/L,DBIC-BL_ART,DBIC-BL_ART,1960-4,Bicarbonate [Moles/volume] in Arterial blood,AMC LAB LABTRAIN
ACT.HCO3 ART. VUMC,Bloed,mmol/L,K_AHCO3_ART,K_AHCO3_ART,1960-4,Bicarbonate [Moles/volume] in Arterial blood,VUMC LAB GLIMS
ACT.HCO3 ART. VUMC,,mmol/L,P_AHCO3_ART,P_AHCO3_ART,1960-4,Bicarbonate [Moles/volume] in Arterial blood,VUMC LAB GLIMS
ACT.HCO3 POCT,,mmol/L,P_AHCO3_HB,P_AHCO3_HB,1959-6,Bicarbonate [Moles/volume] in Blood,VUMC LAB GLIMS
BICARBONAAT - BLOEDGAS CAP. (AMC),Bloed,mmol/L,DBIC-BL_CAP,DBIC-BL_CAP,1961-2,Bicarbonate [Moles/volume] in Capillary blood,AMC LAB LABTRAIN
BICARBONAAT - BLOEDGAS GEM. VEN. (AMC),Bloed,mmol/L,DBIC-BL_MVEN,DBIC-BL_MVEN,19229-4,Bicarbonate [Moles/volume] in Mixed venous blood,AMC LAB LABTRAIN
ACT.HCO3 GEM. VEN. VUMC,Bloed,mmol/L,K_AHCO3_GEMVEN,K_AHCO3_GEMVEN,19229-4,Bicarbonate [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
ACT.HCO3 GEM. VEN. VUMC,`,mmol/L,P_AHCO3_GEMVEN,P_AHCO3_GEMVEN,19229-4,Bicarbonate [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
ACT.HCO3,Bloed,mmol/L,K_AHCO3_HB,K_AHCO3_HB,1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
ACT.HCO3,,,K_AHCO3_HB,K_AHCO3_HB,1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
ACT.HCO3,,mmol/L,K_AHCO3_HB,K_AHCO3_HB,1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
BICARBONAAT (GEMETEN) VUMC,Bloed,mmol/L,K_HCO3_HP,K_HCO3_HP,1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
BICARBONAAT - BLOEDGAS VEN. (AMC),Bloed,mmol/L,CBIC-BL_VEN,CBIC-BL_VEN,14627-4,Bicarbonate [Moles/volume] in Venous blood,AMC LAB LABTRAIN
BICARBONAAT - BLOEDGAS VEN. (AMC),Bloed,mmol/L,DBIC-BL_VEN,DBIC-BL_VEN,14627-4,Bicarbonate [Moles/volume] in Venous blood,AMC LAB LABTRAIN
ACT.HCO3 VEN. VUMC,Bloed,mmol/L,K_AHCO3_VEN,K_AHCO3_VEN,14627-4,Bicarbonate [Moles/volume] in Venous blood,VUMC LAB GLIMS
ACT.HCO3 VEN. VUMC,,mmol/L,P_AHCO3_VEN,P_AHCO3_VEN,14627-4,Bicarbonate [Moles/volume] in Venous blood,VUMC LAB GLIMS
GECON.BILI,Bloed,umol/L,K_BILD_HP,K_BILD_HP,29760-6,Bilirubin.conjugated [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
Gecon.Bili,Bloed,umol/L,K_BILD_HP,K_BILD_HP,29760-6,Bilirubin.conjugated [Moles/volume] in Serum or Plasma,GLIMS
GECON.BILI,,umol/L,K_BILD_HP,K_BILD_HP,29760-6,Bilirubin.conjugated [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
GECON.BILI,Bloed,umol/L,K_BILD_HP,K_BILD_HP,14629-0,Bilirubin.direct [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
GECON.BILI,,umol/L,K_BILD_HP,K_BILD_HP,14629-0,Bilirubin.direct [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
Bili-direct (RBID),Bloed,µmol/L,RBID;BL,RBID-BL,14629-0,Bilirubin.direct [Moles/volume] in Serum or Plasma,LABTRAIN
BILI-DIRECT (BLOED) AMC,Bloed,¶mol/L,RBID-BL,RBID-BL,14629-0,Bilirubin.direct [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
Bilirubine(Bgs Centraal),Bloed Arterieel,umol/L,K_BIL_HB,K_BIL_HB,89872-6,Bilirubin.total [Moles/volume] in Arterial blood,GLIMS
Bilirubine(Bgs),Bloed Arterieel,umol/L,P_BIL_HB,P_BIL_HB,89872-6,Bilirubin.total [Moles/volume] in Arterial blood,GLIMS
Bili-totaal (RBIT),Bloed Arterieel,µmol/L,RBIT;BL,RBIT-BL,89872-6,Bilirubin.total [Moles/volume] in Arterial blood,LABTRAIN
Bili-totaal (RBIT),Bloed,µmol/L,RBIT;BL,RBIT-BL,54363-7,Bilirubin.total [Moles/volume] in Blood,LABTRAIN
Bili-totaal (RBIT),Bloed Bloed,µmol/L,RBIT;BL,RBIT-BL,54363-7,Bilirubin.total [Moles/volume] in Blood,LABTRAIN
BILIRUBINE (OVERIG),,umol/L,K_BILT_OV,K_BILT_OV,29767-1,Bilirubin.total [Moles/volume] in Body fluid,VUMC LAB GLIMS
Bilirubine,Overig,umol/L,K_BILT_OV,K_BILT_OV,29767-1,Bilirubin.total [Moles/volume] in Body fluid,GLIMS
BILI-TOTAAL (OVERIG) AMC,Overig,¶mol/L,RBIT-O,RBIT-O,29767-1,Bilirubin.total [Moles/volume] in Body fluid,AMC LAB LABTRAIN
BILI-TOTAAL (OVERIG) AMC,Overig,umol/L,RBIT-O,RBIT-O,29767-1,Bilirubin.total [Moles/volume] in Body fluid,AMC LAB LABTRAIN
Bili-totaal (RBIT),Overige,µmol/L,RBIT;O,RBIT-O,29767-1,Bilirubin.total [Moles/volume] in Body fluid,LABTRAIN
Bili-totaal (ICTO),Bloed Capillair,µmol/L,ICTO;BL,ICTO-BL,97770-2,Bilirubin.total [Moles/volume] in Capillary blood,LABTRAIN
Bilirubine(Bgs),Bloed Capillair,umol/L,P_BIL_HB,P_BIL_HB,97770-2,Bilirubin.total [Moles/volume] in Capillary blood,GLIMS
Bili-totaal (RBIT),Bloed Capillair,µmol/L,RBIT;BL,RBIT-BL,97770-2,Bilirubin.total [Moles/volume] in Capillary blood,LABTRAIN
Bili-totaal (RBIT),Bloed Capillair vinger,µmol/L,RBIT;BL,RBIT-BL,97770-2,Bilirubin.total [Moles/volume] in Capillary blood,LABTRAIN
BILIRUBINE (ASCITESVOCHT),Ascitesvocht,umol/L,K_BILT_AS,K_BILT_AS,39461-9,Bilirubin.total [Moles/volume] in Peritoneal fluid,VUMC LAB GLIMS
Bilirubine ascitesvocht,Ascitesvocht,umol/L,K_BILT_AS,K_BILT_AS,39461-9,Bilirubin.total [Moles/volume] in Peritoneal fluid,GLIMS
BILIRUBINE (ASCITESVOCHT),,umol/L,K_BILT_AS,K_BILT_AS,39461-9,Bilirubin.total [Moles/volume] in Peritoneal fluid,VUMC LAB GLIMS
Bili-totaal (ICTO),Bloed,µmol/L,ICTO;BL,ICTO-BL,14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,LABTRAIN
BILIRUBINE,Bloed,umol/L,K_BILT_HP,K_BILT_HP,14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
Bilirubine,Bloed,umol/L,K_BILT_HP,K_BILT_HP,14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,GLIMS
BILIRUBINE,,umol/L,K_BILT_HP,K_BILT_HP,14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
Bilirubine in serum,Bloed,umol/L,K_BILT_SR,K_BILT_SR,14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,GLIMS
Bilirubine(Bgs),Bloed,umol/L,P_BIL_HB,P_BIL_HB,14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,GLIMS
BILI-TOTAAL (BLOED) AMC,Bloed,¶mol/L,RBIT-BL,RBIT-BL,14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
Bilirubine(Bgs Centraal),Bloed Veneus,umol/L,K_BIL_HB,K_BIL_HB,89871-8,Bilirubin.total [Moles/volume] in Venous blood,GLIMS
Bilirubine(Bgs),Bloed Veneus,umol/L,P_BIL_HB,P_BIL_HB,89871-8,Bilirubin.total [Moles/volume] in Venous blood,GLIMS
Bili-totaal (RBIT),Bloed Centraal veneus,µmol/L,RBIT;BL,RBIT-BL,89871-8,Bilirubin.total [Moles/volume] in Venous blood,LABTRAIN
Bili-totaal (RBIT),Bloed Veneus,µmol/L,RBIT;BL,RBIT-BL,89871-8,Bilirubin.total [Moles/volume] in Venous blood,LABTRAIN
Bili-totaal (NBIL),Liquor,geen,NBIL;L,NBIL-L,53415-6,Bilirubin.total [Presence] in Cerebral spinal fluid,LABTRAIN
Bilirubine,Urine,,P_BIL_UR,P_BIL_UR,1977-8,Bilirubin.total [Presence] in Urine,GLIMS
Bili.-stik (DBIS),Urine,geen,DBIS;U,DBIS-U,5770-3,Bilirubin.total [Presence] in Urine by Test strip,LABTRAIN
BILIRUBINE-KWAL (URINE) POCT AMC,Urine,,DBIS-U,DBIS-U,5770-3,Bilirubin.total [Presence] in Urine by Test strip,AMC LAB LABTRAIN
BILIRUBINE (URINE),,,K_BIL_UR,K_BIL_UR,5770-3,Bilirubin.total [Presence] in Urine by Test strip,VUMC LAB GLIMS
BILIRUBINE (URINE),Urine,,K_BIL_UR,K_BIL_UR,5770-3,Bilirubin.total [Presence] in Urine by Test strip,VUMC LAB GLIMS
Bilirubine,Urine,,K_BIL_UR,K_BIL_UR,5770-3,Bilirubin.total [Presence] in Urine by Test strip,GLIMS
BILI-STIK (DBIS) (URINE) AMC,Urine,,KBIS-U,KBIS-U,5770-3,Bilirubin.total [Presence] in Urine by Test strip,AMC LAB LABTRAIN
Bili.-stik,Urine,geen,KBIS;U,KBIS-U,5770-3,Bilirubin.total [Presence] in Urine by Test strip,LABTRAIN
Bili.-stik,Urine Vragen om afname informatie,geen,KBIS;U,KBIS-U,5770-3,Bilirubin.total [Presence] in Urine by Test strip,LABTRAIN
CRP (CRPR),Overige,mg/L,CRPR;O,CRPR-O,16503-5,C reactive protein [Mass/volume] in Body fluid,LABTRAIN
CRP (CRPR),Bloed Capillair vinger,mg/L,CRPR;BL,CRPR-BL,48421-2,C reactive protein [Mass/volume] in Capillary blood,LABTRAIN
CRP (CRPR),Bloed Capillair,mg/L,CRPR;BL,CRPR-BL,48421-2,C reactive protein [Mass/volume] in Capillary blood,LABTRAIN
CRP,Bloed,mg/L,K_CRP_HP,K_CRP_HP,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,GLIMS
CRP (CRPR),Bloed Arterieel,mg/L,CRPR;BL,CRPR-BL,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,LABTRAIN
CRP (CRPR),Bloed,mg/L,CRPR;BL,CRPR-BL,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,LABTRAIN
CRP (CRPR),Bloed Veneus,mg/L,CRPR;BL,CRPR-BL,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,LABTRAIN
CRP (CRPR),Bloed Vragen om afname informatie,mg/L,CRPR;BL,CRPR-BL,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,LABTRAIN
CRP ACN8256,Bloed,mg/L,K_CRP4_HP,K_CRP4_HP,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,GLIMS
CRP,Bloed,mg/L,CRPR-BL,CRPR-BL,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,AMC LAB LABTRAIN
CRP,Bloed,mg/L,K_CRP_HP,K_CRP_HP,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,VUMC LAB GLIMS
CRP,,mg/L,K_CRP_HP,K_CRP_HP,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,VUMC LAB GLIMS
CALCIUM TOTAAL (URINE VERZAMELD),,mmol/24u,K_CA_UV,K_CA_UV,14637-3,Calcium [Moles/time] in 24 hour Urine,VUMC LAB GLIMS
CALCIUM TOTAAL (URINE VERZAMELD),Urine,mmol/24u,K_CA_UV,K_CA_UV,14637-3,Calcium [Moles/time] in 24 hour Urine,VUMC LAB GLIMS
CA (ALB.CORR.),Bloed,,CAALB-BL,CAALB-BL,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,AMC LAB LABTRAIN
Albumine gecorrigeerde calcium,Bloed Veneus,,CAALB;BL,CAALB-BL,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,LABTRAIN
Albumine gecorrigeerde calcium,Bloed,,CAALB;BL,CAALB-BL,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,LABTRAIN
CA (ALB.CORR.),Bloed,mmol/L,K_CAALB_HP,K_CAALB_HP,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,VUMC LAB GLIMS
CA (ALB.CORR.),,mmol/L,K_CAALB_HP,K_CAALB_HP,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,VUMC LAB GLIMS
CALCIUM HOEV (U),Urine,mmol/vzm,CALH-U,CALH-U,25362-5,Calcium [Moles/volume] in 24 hour Urine,AMC LAB LABTRAIN
CALCIUM TOTAAL (URINE),Verzamel Urine,mmol/L,K_CA_UR,K_CA_UR,25362-5,Calcium [Moles/volume] in 24 hour Urine,VUMC LAB GLIMS
CALCIUM (DIALYSAAT),Dialysaat,mmol/L,K_CA_DI,K_CA_DI,1998-4,Calcium [Moles/volume] in Dialysis fluid,VUMC LAB GLIMS
CALCIUM TOTAAL,Bloed,mmol/L,K_CA_HP,K_CA_HP,2000-8,Calcium [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
CALCIUM TOTAAL,,mmol/L,K_CA_HP,K_CA_HP,2000-8,Calcium [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
CALCIUM,Bloed,mmol/L,RCAL-BL,RCAL-BL,2000-8,Calcium [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
CALCIUM TOTAAL (URINE),Urine,mmol/L,K_CA_UR,K_CA_UR,2004-0,Calcium [Moles/volume] in Urine,VUMC LAB GLIMS
